,name,github_id,description,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,projectrank,show,fork_count,closed_issue_count,contributor_count,conda_id,pypi_id,open_issue_count,commit_count,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,new_addition,conda_dependent_project_count,labels
0,best-of-web-python - Web UI,ml-tooling/best-of-web-python,Collection of libraries to implement web-based UIs.,True,gui-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2021-01-12 22:47:40.000,2021-01-12 22:47:33.000,2,2021-01-08 01:07:00.000,2021.01.08,2.0,0,True,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-python-dev,ml-tooling/best-of-python-dev,A ranked list of awesome python developer tools and libraries. Updated weekly.,True,dev-utils,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,CC-BY-SA-4.0,2021-01-08 14:46:24.000,2021-01-12 20:57:18.000,2021-01-12 20:57:10.000,2,2021-01-09 12:14:23.000,2021.01.09,1.0,0,True,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-web-python,ml-tooling/best-of-web-python,A ranked list of awesome python libraries for web development. Updated weekly.,True,web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2021-01-12 22:47:40.000,2021-01-12 22:47:33.000,2,2021-01-08 01:07:00.000,2021.01.08,2.0,0,True,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-ml-python,ml-tooling/best-of-ml-python,A ranked list of awesome machine learning Python libraries. Updated weekly.,True,machine-learning,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36.000,2021-01-12 22:51:27.000,2021-01-12 22:48:41.000,98,2021-01-08 03:42:51.000,2021.01.08,9.0,0,True,13.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,
4,protobuf,protocolbuffers/protobuf,Protocol Buffers - Google's data interchange format.,,serialization,https://github.com/protocolbuffers/protobuf,https://github.com/protocolbuffers/protobuf,BSD-3-Clause,2014-08-26 15:52:15.000,2021-01-11 19:53:36.000,2021-01-11 19:53:35.000,45689,2020-11-13 23:48:20.000,3.14.0,68.0,40,True,12221.0,3199.0,773.0,conda-forge/protobuf,protobuf,1234.0,7838.0,21988256.0,34935651.0,136659.0,111719.0,https://pypi.org/project/protobuf,2020-11-12 23:15:38.000,24940.0,34582056.0,https://anaconda.org/conda-forge/protobuf,2021-01-08 11:13:05.613,4014059.0,1.0,1.0,,,
5,awscli,aws/aws-cli,Universal Command Line Interface for Amazon Web Services.,,infrastructure,https://github.com/aws/aws-cli,https://github.com/aws/aws-cli,Apache-2.0,2012-11-20 16:07:36.000,2021-01-12 23:01:29.000,2021-01-12 21:38:39.000,10546,2021-01-07 22:08:19.000,1.18.212,1145.0,39,True,2491.0,2790.0,325.0,conda-forge/awscli,awscli,722.0,9867.0,565.0,36887324.0,24132.0,18712.0,https://pypi.org/project/awscli,2021-01-11 20:43:26.000,5420.0,36782838.0,https://anaconda.org/conda-forge/awscli,2021-01-12 04:03:19.663,5641156.0,1.0,,,,
6,cryptography,pyca/cryptography,cryptography is a package designed to expose cryptographic primitives and recipes to Python developers.,,cryptography,https://github.com/pyca/cryptography,https://github.com/pyca/cryptography,BSD-3-Clause,2013-08-07 02:23:38.000,2021-01-12 17:19:02.000,2021-01-12 17:18:58.000,3737,2020-10-28 03:24:22.000,3.3.1,83.0,38,True,793.0,1549.0,225.0,conda-forge/cryptography,cryptography,30.0,8115.0,,26355687.0,172637.0,138749.0,https://pypi.org/project/cryptography,2020-12-10 02:28:21.000,33888.0,26131893.0,https://anaconda.org/conda-forge/cryptography,2021-01-11 04:44:53.332,9623165.0,1.0,,,,
7,click,pallets/click,Python composable command line interface toolkit.,,cli-helpers,https://github.com/pallets/click,https://github.com/pallets/click,BSD-3-Clause,2014-04-24 09:52:19.000,2021-01-11 16:43:00.000,2021-01-01 08:50:32.000,10242,2020-04-27 21:02:36.000,7.1.2,39.0,37,True,1013.0,991.0,273.0,conda-forge/click,click,81.0,1713.0,,21833909.0,540789.0,431327.0,https://pypi.org/project/click,2020-11-25 18:19:38.000,109462.0,21726572.0,https://anaconda.org/conda-forge/click,2020-04-27 21:01:19.813,5796240.0,1.0,,,,
8,boto3,boto/boto3,AWS SDK for Python.,,db-clients,https://github.com/boto/boto3,https://github.com/boto/boto3,Apache-2.0,2014-10-03 21:38:03.000,2021-01-12 20:19:31.000,2021-01-12 19:05:42.000,6045,2021-01-11 20:43:20.000,1.16.52,739.0,37,True,1303.0,1949.0,108.0,conda-forge/boto3,boto3,305.0,4031.0,,52315194.0,115910.0,92820.0,https://pypi.org/project/boto3,2021-01-11 20:43:20.000,23090.0,52231249.0,https://anaconda.org/conda-forge/boto3,2021-01-12 00:59:53.424,4197275.0,1.0,,True,,
9,SQLAlchemy,sqlalchemy/sqlalchemy,The Database Toolkit for Python.,,db-clients,https://github.com/sqlalchemy/sqlalchemy,https://github.com/sqlalchemy/sqlalchemy,MIT,2017-01-02 21:50:52.207,2021-01-12 23:00:20.000,2021-01-12 22:59:03.000,3189,2020-12-18 21:13:06.000,1.3.22,207.0,37,True,491.0,5394.0,448.0,conda-forge/sqlalchemy,SQLAlchemy,163.0,13461.0,1170.0,12214549.0,312930.0,229224.0,https://pypi.org/project/SQLAlchemy,2020-12-18 21:13:06.000,83706.0,12153972.0,https://anaconda.org/conda-forge/sqlalchemy,2021-01-08 17:47:42.108,2904217.0,1.0,,True,,
