,name,github_id,description,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,pypi_id,conda_id,npm_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,projectrank_placing,trending,updated_github_id,conda_dependent_project_count,labels,gitlab_id,dockerhub_id,docs_url,gitlab_url,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls
0,best-of-ml-python - Computer Vision,ml-tooling/best-of-ml-python,Collection of computer vision and image processing libraries.,True,computer-vision,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36.000,2022-04-07 15:34:15.000,2022-02-19 17:47:29,210.0,13.0,852,237.0,107.0,5.0,21.0,6487,2022-02-19 17:47:37.000,2022.02.17,40.0,21.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web UI,ml-tooling/best-of-web-python,Collection of libraries to implement web-based UIs.,True,gui-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-04-07 16:32:52.000,2022-02-19 17:48:44,116.0,14.0,104,46.0,79.0,4.0,2.0,1481,2022-02-19 17:48:53.000,2022.02.17,34.0,8.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python-dev,ml-tooling/best-of-python-dev,A ranked list of awesome python developer tools and libraries. Updated weekly.,True,dev-utils,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,CC-BY-SA-4.0,2021-01-08 14:46:24.000,2022-04-11 17:30:30.000,2022-02-19 17:48:01,99.0,12.0,26,16.0,76.0,1.0,5.0,449,2022-02-19 17:48:09.000,2022.02.17,32.0,2.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-web-python,ml-tooling/best-of-web-python,A ranked list of awesome python libraries for web development. Updated weekly.,True,web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-04-07 16:32:52.000,2022-02-19 17:48:44,116.0,14.0,104,46.0,79.0,4.0,2.0,1481,2022-02-19 17:48:53.000,2022.02.17,34.0,8.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-ml-python,ml-tooling/best-of-ml-python,A ranked list of awesome machine learning Python libraries. Updated weekly.,True,machine-learning,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36.000,2022-04-07 15:34:15.000,2022-02-19 17:47:29,210.0,13.0,852,237.0,107.0,5.0,21.0,6487,2022-02-19 17:47:37.000,2022.02.17,40.0,21.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,python-patterns,faif/python-patterns,Collection of design patterns/idioms in Python.,True,algorithms,https://github.com/faif/python-patterns,https://github.com/faif/python-patterns,,2012-06-06 21:02:35.000,2022-02-19 17:46:59.000,2022-02-19 17:46:58,806.0,6.0,6007,1666.0,310.0,12.0,65.0,31170,,,,121.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,best-of-ml-python - NLP,ml-tooling/best-of-ml-python,Collection of text processing and NLP libraries.,True,text,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python#text-data--nlp,CC-BY-SA-4.0,2020-11-29 19:41:36.000,2022-04-07 15:34:15.000,2022-02-19 17:47:29,210.0,13.0,852,237.0,107.0,5.0,21.0,6487,2022-02-19 17:47:37.000,2022.02.17,40.0,21.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,protobuf,protocolbuffers/protobuf,Protocol Buffers - Googles data interchange format.,,serialization,https://github.com/protocolbuffers/protobuf,https://github.com/protocolbuffers/protobuf,BSD-3-Clause,2014-08-26 15:52:15.000,2022-04-13 22:54:12.000,2022-04-12 22:48:14,9268.0,306.0,13967,2085.0,4772.0,988.0,3995.0,53873,2022-04-01 18:21:33.000,3.20.0,104.0,951.0,49,True,protobuf,conda-forge/protobuf,google-protobuf,34932444.0,81154223.0,229119.0,212132.0,https://pypi.org/project/protobuf,2022-04-06 20:29:34.000,14362.0,76509297.0,https://anaconda.org/conda-forge/protobuf,2022-04-10 07:00:02.155,7820617.0,https://www.npmjs.com/package/google-protobuf,2022-04-06 20:51:33.295,2625.0,4159542.0,1.0,,,,,,,,,,,
8,ansible,ansible/ansible,Ansible is a radically simple IT automation platform that makes your applications and systems easier to deploy and..,,infrastructure,https://github.com/ansible/ansible,https://github.com/ansible/ansible,GPL-3.0,2012-03-06 14:58:02.000,2022-04-14 13:27:00.000,2022-04-13 15:53:39,52533.0,288.0,21790,1981.0,47006.0,1237.0,29473.0,52794,2022-04-05 19:33:23.000,5.6.0,293.0,6545.0,48,True,ansible,conda-forge/ansible,,,5276105.0,25172.0,21113.0,https://pypi.org/project/ansible,2022-04-13 13:31:02.000,4059.0,5266369.0,https://anaconda.org/conda-forge/ansible,2022-04-06 09:32:30.645,545229.0,,,,,1.0,,,,,,,,,,,
9,click,pallets/click,Python composable command line interface toolkit.,,cli-helpers,https://github.com/pallets/click,https://github.com/pallets/click,BSD-3-Clause,2014-04-24 09:52:19.000,2022-04-10 09:32:32.000,2022-04-01 19:39:56,2168.0,95.0,1240,181.0,920.0,56.0,1272.0,12300,2022-03-31 20:55:12.000,8.1.2,48.0,331.0,46,True,click,conda-forge/click,,,115470601.0,848503.0,779366.0,https://pypi.org/project/click,2022-03-31 20:52:50.000,69137.0,115274761.0,https://anaconda.org/conda-forge/click,2022-04-01 06:33:58.687,13512962.0,,,,,1.0,,,,,,,,,,,
